# Per-country facts from Wikidata (CC0), fetched by build_facts.py.
# continent P30, currency P38, language P37, drive P1622,
# landlocked P31 = Q123480, org P463 memberships, gov P122 basic
# form of government, tz P421 time zones.
# country	continent	currency	language	drive	landlocked	org	gov	tz
Tanzania	Africa	Tanzanian shilling	English|Swahili	left	0	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Dar_es_Salaam|East Africa Time|UTC+03:00
Thailand	Asia	baht	Thai	left	0	ASEAN|ASEAN Regional Forum|Asia-Pacific Economic Cooperation|Asian Development Bank|Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Southeast Asia Treaty Organization|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	constitutional monarchy|parliamentary monarchy	Asia/Bangkok|UTC+07:00
The Bahamas	North America	Bahamian dollar	English	left	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Alliance of Small Island States|Caribbean Community|Caribbean Development Bank|Caribbean Disaster Emergency Management Agency|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Renewable Energy Agency|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organization of American States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	constitutional monarchy	America/Nassau
Tunisia	Africa	Tunisian dinar	Arabic	right	0	African Continental Free Trade Area|African Development Bank|African Union|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Maghreb Union|Arab Monetary Fund|Community of Sahel-Saharan States|Group on Earth Observations|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Aviation Organization|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Maritime Organization|International Monetary Fund|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UN Tourism|UNESCO|Union for the Mediterranean|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Intellectual Property Organization|World Meteorological Organization|World Trade Organization	parliamentary republic|semi-presidential system	Africa/Tunis|Central European Time|UTC+01:00|UTC+02:00
Turkey	Asia|Europe	Turkish lira	Turkish	right	0	African Development Bank|Asian Development Bank|Australia Group|Council of Europe|Eurocontrol|European Payments Union|G20|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Migration Policy Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|League of Nations|MIKTA|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Organization of Turkic States|Organization of the Black Sea Economic Cooperation|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|unitary state	Asia/Istanbul|Europe/Istanbul|UTC+03:00
Turkmenistan	Asia	Turkmenistan new manat	Turkmen	right	1	Asian Development Bank|Commonwealth of Independent States|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Security and Co-operation in Europe|Organization of Turkic States|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system|republic	Asia/Ashgabat|UTC+05:00
Uganda	Africa	Ugandan shilling	English|Swahili	left	1	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system	Africa/Kampala|UTC+03:00
Ukraine	Europe	hryvnia	Ukrainian	right	0	United Nations	semi-presidential system	Eastern European Time|Europe/Kyiv|UTC+02:00|UTC+03:00
United Arab Emirates	Asia	United Arab Emirates dirham	Arabic	right	0	African Development Bank|Arab Bank for Economic Development in Africa|Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|BRICS|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	absolute monarchy|constitutional monarchy|federal monarchy	Asia/Dubai|UTC+04:00
United Kingdom	Europe	pound sterling	English	left	0	ABCANZ Armies|ANZUK|AUKUS|AUSCANNZUKUS|African Development Bank|Air Force Interoperability Council|Asian Development Bank|Australia Group|Caribbean Development Bank|Combined Communications-Electronics Board|Council of Europe|Eurocontrol|European Free Trade Association|European Southern Observatory|European Space Agency|European Union|Five Eyes|G20|G7|G8|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Development Association|International Energy Agency|International Finance Corporation|International Holocaust Remembrance Alliance|International Hydrographic Organization|International Telecommunication Union|Interpol|Missile Technology Control Regime|Movement Coordination Centre Europe|Multilateral Investment Guarantee Agency|NATO|Nuclear Suppliers Group|Organisation for Joint Armament Cooperation|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization for Security and Co-operation in Europe|Southeast Asia Treaty Organization|The Technical Cooperation Program|Treaty on Open Skies|Treaty on the Non-Proliferation of Nuclear Weapons|United Nations|Universal Postal Union|Visa Waiver Program|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization|states with nuclear weapons	constitutional monarchy	Europe/London
United States	North America	United States dollar	Carolinian|Chamorro|Hawaiian|Samoan|Spanish	right	0	ABCANZ Armies|AUSCANNZUKUS|Air Force Interoperability Council|Arctic Council|Asia-Pacific Economic Cooperation|Combined Communications-Electronics Board|G20|G7|Group of Ten|Group on Earth Observations|International Energy Agency|International Hydrographic Organization|International Telecommunication Union|Interpol|Movement Coordination Centre Europe|NATO|North American Free Trade Agreement|Organisation for the Prohibition of Chemical Weapons|Organization for Economic Cooperation and Development|Organization of American States|Strategic Airlift Capability|The Technical Cooperation Program|UNESCO|United Nations|United Nations Security Council|Universal Postal Union|World Meteorological Organization|World Trade Organization	constitutional republic|democratic republic	Alaska Time Zone|Atlantic Time Zone|Central Time Zone|Chamorro Time Zone|Mountain Time Zone|Samoa Time Zone|UTC+10:00|UTC+12:00|UTC−04:00|UTC−06:00|UTC−07:00|UTC−08:00|UTC−09:00|UTC−11:00|UTC−12:00
Uruguay	South America	Uruguayan peso		right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Andean Community|Digital Nations|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Finance Corporation|International Hydrographic Organization|International Labour Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	participatory democracy|presidential system|republic	America/Montevideo|UTC−03:00
Uzbekistan	Asia	Uzbek som	Uzbek	right	0	Asian Development Bank|Central Asian Cooperation Organization|Collective Security Treaty Organization|Commonwealth of Independent States|Commonwealth of Independent States Free Trade Area|GUAM Organization for Democracy and Economic Development|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Organization for Security and Co-operation in Europe|Organization of Turkic States|Shanghai Cooperation Organisation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system	Asia/Samarkand|Asia/Tashkent|UTC+05:00
Vatican City	Europe		Italian|Latin	right	1	International Telecommunication Union|Interpol|Universal Postal Union	constitutional monarchy|papacy|theocracy	Central European Time|Europe/Vatican|UTC+01:00
Venezuela	South America	sovereign bolivar	Spanish|Venezuelan Sign Language	right	0	Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean|Caribbean Development Bank|International Bank for Reconstruction and Development|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organization of American States|Organization of the Petroleum Exporting Countries|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|Union of South American Nations|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Trade Organization	federal republic|presidential system	America/Caracas|UTC−04:00
Vietnam	Asia	Vietnamese đồng	Vietnamese	right	0	ASEAN|ASEAN Regional Forum|Asia-Pacific Economic Cooperation|Asian Development Bank|COMECON|Group on Earth Observations|International Bank for Reconstruction and Development|International Development Association|International Finance Corporation|International Hydrographic Organization|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation internationale de la Francophonie|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	one-party state|republic|unitary state	Asia/Ho_Chi_Minh|UTC+07:00
Yemen	Asia	Yemeni Rial	Arabic	right	0	Arab Fund for Economic and Social Development|Arab League|Arab Monetary Fund|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of Islamic Cooperation|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization	presidential system|republic	Asia/Aden|UTC+03:00
Zambia	Africa	Zambian Kwacha	English	left	1	African Continental Free Trade Area|African Development Bank|African Union|Commonwealth of Nations|Food and Agriculture Organization of the United Nations|Group of 77|International Atomic Energy Agency|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Aviation Organization|International Confederation of Free Trade Unions|International Criminal Court|International Development Association|International Finance Corporation|International Fund for Agricultural Development|International Labour Organization|International Monetary Fund|International Olympic Committee|International Organization for Migration|International Organization for Standardization|International Telecommunication Union|Interpol|Lomé Convention|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization	presidential system|representative democracy	Africa/Lusaka|UTC+02:00
Zimbabwe	Africa	Australian dollar|Indian rupee|United States dollar|Zimbabwe ZiG|Zimbabwean dollar|pound sterling|rand|renminbi|yen	Barwe|Chewa|English|Kalanga|Khoisan|Nambya|Ndau|Northern Ndebele|Sesotho|Shona|Tonga|Tsonga|Tswana|Venda|Xhosa|Zimbabwe Sign Language	left	1	African Continental Free Trade Area|African Development Bank|African Union|Group on Earth Observations|International Bank for Reconstruction and Development|International Centre for Settlement of Investment Disputes|International Civil Defence Organisation|International Development Association|International Finance Corporation|International Telecommunication Union|Interpol|Multilateral Investment Guarantee Agency|Organisation for the Prohibition of Chemical Weapons|Organisation of African, Caribbean and Pacific States|Southern African Development Community|Treaty on the Non-Proliferation of Nuclear Weapons|UNESCO|United Nations|United Nations–African Union Hybrid Operation in Darfur|Universal Postal Union|World Customs Organization|World Health Organization|World Meteorological Organization|World Trade Organization		Africa/Harare|UTC+02:00
